Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,301.649994,301.809998,299.049988,301.609985,286.340179,200
2018-12-04,300.970001,300.970001,289.690002,298.450012,285.231567,700
2018-12-06,283.899994,290.049988,282.000000,290.049988,277.203552,200
2018-12-07,285.500000,286.910004,282.000000,282.000000,269.510132,100
2018-12-10,280.450012,282.239990,275.070007,275.070007,262.887115,14000
2018-12-11,285.989990,286.149994,281.000000,282.799988,270.274689,4800
2018-12-12,288.399994,290.000000,287.950012,287.950012,275.196625,300
2018-12-13,290.230011,291.450012,288.600006,291.450012,278.541595,200
2018-12-14,283.890015,285.750000,282.750000,282.750000,270.226898,1000
2018-12-17,280.399994,284.089996,279.890015,279.890015,267.493622,800
2018-12-18,289.950012,289.950012,285.750000,289.049988,276.247894,100
2018-12-19,288.549988,288.549988,280.600006,280.600006,268.172180,900
2018-12-20,287.769989,287.769989,282.950012,282.989990,270.456299,700
2018-12-21,286.489990,289.000000,283.160004,289.000000,276.200104,900
2018-12-24,276.250000,280.000000,274.679993,279.480011,267.101776,500
2018-12-26,279.480011,282.320007,272.299988,282.320007,269.815979,700
2018-12-27,281.500000,286.359985,280.029999,286.359985,273.677032,400
2018-12-28,290.000000,290.950012,290.000000,290.950012,278.063782,500
2018-12-31,297.100006,297.100006,292.049988,296.200012,283.081207,1400
2019-01-02,289.899994,289.899994,287.000000,287.000000,274.288666,1100
2019-01-03,279.750000,281.200012,276.200012,278.940002,266.585663,1400
2019-01-04,282.549988,288.000000,281.200012,288.000000,275.244415,100
2019-01-07,285.950012,288.500000,285.570007,287.500000,274.766510,400
2019-01-08,298.000000,299.000000,295.100006,298.959991,285.718933,400
2019-01-09,303.670013,303.769989,300.200012,300.309998,287.009155,800
2019-01-10,299.000000,299.149994,295.399994,299.149994,285.900574,7000
2019-01-11,295.399994,297.750000,294.269989,294.290009,281.255829,1000
2019-01-14,289.299988,289.299988,287.100006,287.100006,274.384277,400
2019-01-15,286.200012,287.679993,285.299988,285.299988,272.663971,2600
2019-01-16,284.649994,285.079987,282.299988,284.690002,272.080994,600
2019-01-17,280.899994,284.079987,279.000000,281.000000,268.554413,1100
2019-01-18,288.049988,289.500000,285.510010,289.399994,276.582397,1000
2019-01-22,291.829987,292.910004,288.640015,288.640015,275.856049,500
2019-01-23,292.950012,294.709991,291.320007,293.429993,280.433899,1600
2019-01-24,291.149994,294.170013,290.220001,290.220001,277.366058,200
